registerNum,country1,country2,dateBegan,dateEnded,durationDays,peopleDead,peopleDisplaced,damageUsd,mainCause1,mainCause2,mainCause3,severity,affectedSqKm,magnitude,centroidX,centroidY
2174,Turkey,Greece,1/17/2003,3/3/2003,46,0,0,,Heavy Rain,,,large,26936.78,6.093103511,26.7148,41.591
2173,Brazil,,1/11/2003,4/22/2003,102,0,0,,Monsoon,,,large,139112.79,7.151967233,-50.4819,-11.8781
2172,Greece,,1/27/2003,2/7/2003,12,0,0,,Heavy Rain,,,large,35397.85,5.628158131,22.2237,39.6089
2171,Zimbabwe,,2/25/2003,2/28/2003,4,2,18000,200000000,Heavy Rain,,,large,13941.66,4.746374479,31.1595,-16.3458
2170,Australia,,2/22/2003,3/24/2003,31,0,0,,Heavy Rain,,,large,1260590.18,7.591935613,138.398,-29.2128
2169,Spain,France,2/5/2003,2/13/2003,9,1,0,,Heavy Rain,,,large,106247.98,5.980563191,-1.16593,43.3022
2168,United States,,2/22/2003,2/23/2003,2,2,0,,Heavy Rain,,,large,82478.43,5.217370381,-80.6513,37.679
2167,United States,,2/22/2003,3/17/2003,24,1,0,,Heavy Rain,,,large,785574.94,7.275398863,-90.0652,31.4633
2166,Australia,,2/21/2003,2/24/2003,4,0,100,,Heavy Rain,,,large,57424.09,5.361154113,149.7,-32.59
2165,Australia,,2/21/2003,2/24/2003,4,0,0,,Heavy Rain,,,large,9031.36,4.557813145,127.857,-18.2289
2164,Lebanon,Israel,2/21/2003,2/24/2003,4,0,0,,Heavy Rain,,,large,6337.59,4.403984131,35.7737,33.545
2163,Pakistan,,2/15/2003,2/24/2003,10,27,0,,Heavy Rain,,,large,26796.79,5.428082773,73.7749,34.4037
2162,Angola,,2/6/2003,2/20/2003,15,0,0,,Heavy Rain,,,large,115312.47,6.237967534,18.0146,-10.4392
2161,Zambia,Angola,1/15/2003,7/1/2003,168,7,20000,,Heavy Rain,,,extreme,607286.01,8.309732554,21.7005,-12.1764
2160,Pakistan,Afghanistan,2/16/2003,2/22/2003,7,20,3000,,Heavy Rain,,,large,433469.94,6.482057026,68.0677,27.5247
2159,United States,,2/15/2003,2/18/2003,4,2,100,,Heavy Rain,Snow/Ice Melt,,large,42499.87,5.230447593,-82.2846,37.6968
2158,Indonesia,,2/16/2003,2/17/2003,2,0,4300,,Heavy Rain,,,large,401.224,2.904416899,107.604,-6.97319
2157,Canada,,2/15/2003,2/21/2003,7,0,1100,,Snow/Ice Melt,,,large,1014.86,3.851504175,-56.033,48.983
2156,Indonesia,,2/13/2003,2/14/2003,2,3,33000,,Heavy Rain,,,large,545.177,3.037567521,106.847,-6.20813
2155,United States,,2/12/2003,2/13/2003,2,0,0,,Heavy Rain,,,large,29456.33,4.770208632,-119.012,34.3071
2154,Australia,,2/11/2003,2/14/2003,4,0,0,,Heavy Rain,,,large,40587.44,5.210451651,146.722,-22.2781
2153,Zambia,,2/5/2003,2/7/2003,3,0,400,,Heavy Rain,,,large,2674.05,3.904290778,28.5651,-14.3453
2152,Australia,,2/5/2003,2/12/2003,8,1,20,2000000,Heavy Rain,,,large,46117.22,5.566953107,150.373,-23.7719
2151,Malaysia,,2/4/2003,2/7/2003,4,0,11000,,Heavy Rain,,,large,6108.77,4.388013765,110.416,1.31139
2150,Mozambique,,2/4/2003,2/17/2003,14,32,400000,,Heavy Rain,,,large,88563.63,6.093383445,39.834,-12.9125
2149,Indonesia,,2/4/2003,2/6/2003,3,7,280,,Heavy Rain,,,large,1559.1,3.669995226,102.64,-3.46055
2148,Indonesia,,1/30/2003,2/9/2003,11,0,0,,Heavy Rain,,,large,4154.77,4.659939672,107.641,-7.04676
2147,Russia,,2/1/2003,2/3/2003,3,0,200,,Heavy Rain,,,large,18390.87,4.741723529,39.6729,47.2248
2146,Israel,,1/29/2003,1/30/2003,2,0,150,,Heavy Rain,,,large,276.318,2.742439172,35.1782,33.057
2145,Peru,,1/28/2003,2/10/2003,14,6,34000,,Heavy Rain,,,large,65370.88,5.961512367,-69.31,-15.8735
2144,Peru,,1/28/2003,2/10/2003,14,12,0,,Heavy Rain,,,large,36369.03,5.706859754,-72.102,-13.2385
